cntr_01,dist_x,pang_x,source_01,ra_01,dec_01,ra_1,dec_1,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,RA_2,Dec_2,GLON,GLAT,Period,Distance,e_Dis,A_Ks,e_ext,Type,Jmag,Hmag,Ksmag,W1mag,W2mag,3.6mag,4.5mag,5.8mag,8.0mag,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,v_z,e_v_z,H-W2,TC_rowSubsetFlags,GroupID,GroupSize,Separation
5,0.150417,-158.59271,S0005,312.7534117,43.1399023,312.7533908,43.1398634,0.0273,0.0232,0.0067,6.651,0.02,53.2,4.521,7.092,0.011,98.2,3.786,1,0,0000,AA,5,58995.97796456,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.151795,136.331369,S0005,312.7534117,43.1399023,312.7534516,43.1398718,0.0295,0.0254,0.0125,6.524,0.03,36.1,4.602,6.816,0.013,81.3,1.829,1,0,0000,AA,10,56985.93480565,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.153293,72.647369,S0005,312.7534117,43.1399023,312.7534674,43.139915,0.0265,0.0275,-0.0028,6.653,0.027,40.2,8.618,6.806,0.014,77.7,5.692,1,0,0000,AA,5,56985.80339266,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.153922,124.309391,S0005,312.7534117,43.1399023,312.7534601,43.1398782,0.0272,0.025,-0.0046,6.597,0.024,45.5,6.336,7.021,0.012,92.7,2.567,1,0,0000,AA,5,58264.45098905,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.154788,-130.808822,S0005,312.7534117,43.1399023,312.7533671,43.1398742,0.0268,0.0263,0.0042,6.801,0.022,49.2,2.157,7.008,0.013,83.7,3.057,1,0,0000,AA,10,56808.35792537,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.155044,56.293377,S0005,312.7534117,43.1399023,312.7534608,43.1399262,0.0292,0.0243,0.0097,6.95,0.022,50.3,1.477,7.073,0.013,82.7,3.794,1,0,0000,AA,5,57347.93013601,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.156535,64.089749,S0005,312.7534117,43.1399023,312.7534653,43.1399213,0.0272,0.0242,0.0071,6.48,0.023,46.4,5.25,6.851,0.012,93.8,4.095,1,0,0000,AA,5,57169.4487712,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.156623,86.309978,S0005,312.7534117,43.1399023,312.7534712,43.1399051,0.0249,0.0266,0.0062,7.091,0.017,62.2,67.98,7.11,0.012,88.4,60.19,1,0,0000,AA,0,58629.29421722,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.157056,140.163821,S0005,312.7534117,43.1399023,312.75345,43.1398688,0.0276,0.0243,0.0049,6.743,0.02,54.7,14.81,7.034,0.013,86.8,13.38,1,0,0000,AA,0,58795.63189307,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.160876,-17.582487,S0005,312.7534117,43.1399023,312.7533932,43.1399449,0.0271,0.0229,-0.0093,6.66,0.02,55.2,4.43,7.005,0.013,83.2,10.7,1,0,0000,AA,5,58629.0326654,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
