Seq,w1mpro,w2mpro,mjd
204,13.455,12.814,57167.76855
204,13.426,12.764,57164.61885
204,13.463,12.88,57699.21499
204,13.432,12.775,57699.08396
204,13.399,12.732,57538.38254
204,13.465,12.71,57537.98944
204,13.444,12.66,57530.38916
204,13.427,12.748,57531.56856
204,13.542,12.765,57702.49013
204,13.528,12.874,57700.26298
204,13.467,12.706,57703.01425
204,13.392,12.733,57343.37931
204,13.489,12.665,57343.51047
204,13.466,12.79,57347.31407
204,13.384,12.722,57345.21553
204,13.525,12.685,57168.29356
204,13.427,12.848,57167.89983
204,13.431,12.65,57165.53746
204,13.417,12.932,57168.81858
204,13.486,12.711,57348.36334
204,13.447,12.864,57344.55974
204,13.347,12.742,57165.40618
204,13.555,12.872,57169.08102
204,13.269,12.79,57529.20988
204,13.377,12.725,57528.81666
204,13.561,12.727,57537.59635
204,13.496,12.708,57538.25151
204,13.347,12.779,57532.22371
204,13.499,12.744,57532.87887
204,13.405,12.697,57702.22807
204,13.44,12.752,57703.93121
204,13.394,12.661,57343.64163
204,13.433,12.659,57340.36267
204,13.427,12.949,57346.52712
204,13.414,12.697,57347.44523
204,13.435,12.8,57346.00249
204,13.413,12.718,57165.27502
204,13.355,12.777,57165.01245
204,13.376,12.786,57164.75
204,13.454,12.949,57344.95322
204,13.452,12.722,57348.10102
204,13.405,12.769,57166.84993
204,13.538,12.74,57168.42485
204,13.356,12.737,57529.20975
204,13.475,12.696,57528.68563
204,13.424,12.837,57534.97561
204,13.445,12.756,57535.23767
204,13.459,12.73,57529.86503
204,13.403,12.725,57529.99607
204,13.5,12.69,57533.40312
204,13.524,12.514,57532.61681
204,13.484,12.734,57340.8873
204,13.451,12.833,57341.41194
204,13.417,12.783,57344.82206
204,13.394,12.731,57347.05176
204,13.433,12.819,57346.65828
204,13.332,12.729,57346.13365
204,13.461,12.818,57167.63739
204,13.303,12.762,57164.61872
204,13.478,12.804,57348.62566
204,13.39,12.766,57349.15016
204,13.435,12.796,57165.93119
204,13.542,12.691,57168.81845
204,13.374,12.771,57528.94769
204,13.438,12.675,57529.07872
204,13.61,12.787,57538.6446
204,13.421,12.612,57534.97548
204,13.433,12.694,57537.85841
204,13.358,12.817,57532.74784
204,13.501,12.78,57531.17547
204,13.368,12.587,57531.69959
204,13.425,12.866,57707.33751
204,13.465,12.72,57707.46842
204,13.45,12.803,57531.17534
204,13.461,12.801,57531.83062
204,13.521,12.774,57706.02746
204,13.405,12.607,57706.42042
204,13.47,12.733,57896.79425
204,13.427,12.756,57897.97277
204,13.476,12.855,57899.02038
204,13.547,12.82,57901.24637
204,13.553,12.776,57902.29385
204,13.391,12.735,57899.93696
204,13.52,12.774,57895.74677
204,13.566,12.881,58064.72221
204,13.53,12.794,58065.24596
204,13.548,12.721,58068.25724
204,13.546,12.789,58065.63867
204,13.566,12.761,58068.12634
204,13.478,12.772,58068.64995
204,13.456,12.84,58264.67319
204,13.353,12.848,57700.00105
204,13.413,12.959,57700.39401
204,13.394,12.756,57898.88935
204,13.445,12.807,57897.44903
204,13.593,12.693,57902.68669
204,13.467,13.074,57900.98444
204,13.454,12.893,57898.3656
204,13.467,12.853,57899.67502
204,13.483,,58064.46028
204,13.435,12.81,58064.46041
204,13.365,12.756,58068.78086
204,13.455,12.825,58067.86492
204,13.492,12.579,58063.67473
204,13.455,12.798,58067.6026
204,13.578,12.721,58266.76727
204,13.513,12.818,58265.0659
204,13.372,12.761,58426.23905
204,13.48,12.738,58426.89344
204,13.406,12.781,58427.94054
204,13.397,12.827,58428.4639
204,13.452,12.899,57704.06225
204,13.667,12.772,57703.27619
204,13.389,12.794,57895.61574
204,13.454,12.654,57898.62754
204,13.501,12.802,57901.50818
204,13.117,12.819,57901.77011
204,13.426,12.744,57896.00858
204,13.487,12.802,57896.66335
204,13.454,12.795,58064.06757
204,13.522,12.801,58064.19847
204,13.436,12.873,58066.42421
204,13.505,12.733,58066.68615
204,13.339,12.842,58062.62738
204,13.448,12.811,58064.85312
204,13.548,12.863,58266.63636
204,13.528,12.73,58265.06578
204,13.396,12.758,58424.01421
204,13.624,12.611,58424.6686
204,13.455,12.7,58426.76267
204,13.464,12.82,58427.80964
204,13.411,12.801,57705.76539
204,13.411,12.703,57704.32431
204,13.622,12.858,57703.53825
204,13.483,12.81,57707.59945
204,13.452,12.852,57704.45534
204,13.649,12.808,57899.80592
204,13.391,12.739,57900.32979
204,13.422,12.79,57901.37727
204,13.476,12.615,57901.63921
204,13.412,12.811,57896.27051
204,13.504,12.715,57900.4607
204,13.463,12.814,58063.28202
